Équipe,Saison,MJ,V,D,N,DP,PTS,%PTS,VR,VRP,V Fus,BP,BC,BP/MJ,BC/MJ,%AN,%IN,%AN Net,%IN Net,TP/MJ,TC/MJ,%MEJG
Bruins de Boston,20222023,51,39,7,--,5,83,0.814,34,37,2,190,108,3.73,2.12,25.1,85.8,22.9,88.1,33.5,29.3,55.2
Hurricanes de la Caroline,20222023,51,34,9,--,8,76,0.745,24,31,3,170,134,3.33,2.63,20,81.9,17.1,87.6,35,26.4,53.2
Devils du New Jersey,20222023,50,33,13,--,4,70,0.7,24,32,1,175,134,3.5,2.68,20.8,81.1,17.5,84.3,34.4,28.5,51.1
Maple Leafs de Toronto,20222023,52,31,13,--,8,70,0.673,26,31,0,175,140,3.37,2.69,25,79.4,22.6,83.1,31.9,28.8,52.5
Stars de Dallas,20222023,52,29,13,--,10,68,0.654,25,27,2,174,133,3.35,2.56,25,83.8,23.1,87.3,32.1,30.9,54.6
Lightning de Tampa Bay,20222023,50,32,16,--,2,66,0.66,26,31,1,178,151,3.56,3.02,26,79.6,20.8,80.9,32,31.4,51.8
Jets de Winnipeg,20222023,52,32,19,--,1,65,0.625,25,32,0,166,137,3.19,2.63,22.3,83.3,20.5,86.1,30.2,31,48.4
Golden Knights de Vegas,20222023,52,30,18,--,4,64,0.615,22,27,3,162,148,3.12,2.85,23,79.4,21.5,84.9,32.5,30.3,52.4
Rangers de New York,20222023,50,28,14,--,8,64,0.64,22,26,2,160,131,3.2,2.62,21.8,81,19.9,84.5,32.8,29.5,48.8
Kraken de Seattle,20222023,50,29,16,--,5,63,0.63,24,29,0,177,153,3.54,3.06,20.1,72.5,17.4,73.8,30,28.1,45.5
Kings de Los Angeles,20222023,53,28,18,--,7,63,0.594,20,24,4,169,182,3.19,3.43,24,74.2,20.7,76.4,32.3,28.8,52.5
Oilers d'Edmonton,20222023,51,29,18,--,4,62,0.608,27,29,0,192,163,3.76,3.2,31.8,75.7,30.2,79.6,33,31.9,49.7
Capitals de Washington,20222023,53,27,20,--,6,60,0.566,21,26,1,165,150,3.11,2.83,20.5,81.4,18,84.3,31.8,30.2,49.8
Islanders de New York,20222023,54,27,22,--,5,59,0.546,23,27,0,154,142,2.85,2.63,15.8,83.3,12.5,85.3,30.6,31.6,50.5
Penguins de Pittsburgh,20222023,50,25,16,--,9,59,0.59,20,24,1,162,153,3.24,3.06,22.5,81.6,20.2,84.7,33,34.1,52.2
Avalanche du Colorado,20222023,49,27,18,--,4,58,0.592,18,23,4,148,133,3.02,2.71,23.9,77,22.7,79.6,33.1,32,46.4
Wild du Minnesota,20222023,49,27,18,--,4,58,0.592,20,23,4,149,139,3.04,2.84,23.6,79.8,22.3,84.5,31.3,30.2,47.7
Flames de Calgary,20222023,51,24,17,--,10,58,0.569,20,23,1,160,154,3.14,3.02,19.4,82.3,17.5,85.1,35.4,27.9,50.8
Sabres de Buffalo,20222023,50,26,20,--,4,56,0.56,19,25,1,185,169,3.7,3.38,25.3,73.3,23.6,78,32.5,32.6,45.1
Panthers de la Floride,20222023,53,25,22,--,6,56,0.528,23,24,1,184,183,3.47,3.45,23.8,75,20.5,76.5,35.9,32.3,48.6
Predators de Nashville,20222023,49,24,19,--,6,54,0.551,19,22,2,136,145,2.78,2.96,16.5,80.7,13.9,81.9,31.1,34.4,51.6
Sénateurs d'Ottawa,20222023,50,24,23,--,3,51,0.51,19,23,1,150,159,3,3.18,27,80.6,25.4,83.4,33.6,31.8,51.9
Flyers de Philadelphie,20222023,52,21,22,--,9,51,0.49,20,21,0,143,163,2.75,3.13,15.8,77.1,13.3,83,30,31.7,45.7
Red Wings de Detroit,20222023,49,21,20,--,8,50,0.51,16,20,1,146,162,2.98,3.31,19.5,76.8,14.8,78.2,29.7,30.6,48.8
Blues de St. Louis,20222023,51,23,25,--,3,49,0.48,16,20,3,153,184,3,3.61,22.9,76.2,18.1,79.4,28.8,31.9,50.6
Canadiens de Montréal,20222023,51,20,27,--,4,44,0.431,12,16,4,130,189,2.55,3.71,15.6,72.8,14.4,73.9,27.8,34,50
Canucks de Vancouver,20222023,50,20,26,--,4,44,0.44,13,17,3,166,197,3.32,3.94,22.7,65.8,17.4,68.5,30.7,31.8,49.4
Sharks de San Jose,20222023,52,16,25,--,11,43,0.413,12,15,1,160,194,3.08,3.73,20.4,82.4,16.2,83,29.4,31.2,49.9
Coyotes de l'Arizona,20222023,51,17,28,--,6,40,0.392,14,15,2,132,177,2.59,3.47,18.4,74.7,17.1,76.3,25.9,34.8,45.8
Ducks d'Anaheim,20222023,51,16,29,--,6,38,0.373,7,13,3,124,205,2.43,4.02,16.1,73.2,12.8,73.7,29.9,38.9,46.2
Blackhawks de Chicago,20222023,48,15,29,--,4,34,0.354,11,15,0,118,174,2.46,3.63,19.4,75.3,13.7,78.8,26.2,33.9,55.7
Blue Jackets de Columbus,20222023,51,15,32,--,4,34,0.333,10,14,1,130,197,2.55,3.86,16.4,76.9,11.9,80,28.8,35,47.7
